,question,question_code,correct_answer
1,"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",Q1,0
2,"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it  would  be  possible  to  have  less  than $1,000  when  you withdraw your money.""",Q2,0
5846,"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",Q3,2
5847,"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",Q4,1
5848,"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",Q5,0
5849,"Normally, which asset described below displays the highest fluctuations over time?",Q6,1
5850,"When an investor spreads his money among different assets, does the risk of losing a lot of money",Q7,2
5851,"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",Q8,1
5852,"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",Q9,0
5853,Which of the following statements is correct?,Q10,1
5854,Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,Q11,2
5855,"Suppose  you  owe  $3,000  on  your  credit  card.  You pay a minimum payment of $30 each month. At an annual percentage rate of 12% (or 1% per month), how many years would it take to eliminate your credit card debt if you made no additional new charges?",Q12,3
